130250 79,67 130467
130490 83,71 130706
130730 84,72 130946
130970 86,74 131186
131210 88,76 131426
131570 79,67 131678
131690 84,72 131798
131810 88,76 131918
131930 86,74 132038
132050 79,67 132158
132170 83,71 132278
132290 86,74 132398
132410 84,72 132627
132650 84,72 132758
132770 83,71 132878
132890 84,72 133107
133130 91,79 133347
133370 84,72 133587
133610 84,72 133718
133730 83,71 133838
133850 84,72 134067
134090 79,67 134307
134330 84,72 134547
134570 84,72 134678
134690 83,71 134798
134810 84,72 134918
134930 79,67 135038
135050 84,72 135158
135170 88,76 135278
135290 89,77 135507
135530 88,76 135746
135770 84,72 135986
136010 86,74 136226
136250 88,76 136466
136490 96,84 136598
136610 96,84 136850
136850 95,83 136958
136970 95,83 137186
137210 95,83 137426
137450 91,79 137558
137570 91,79 137810
137810 89,77 137918
137930 88,76 138038
138050 86,74 138158
138170 84,72 138386
138410 86,74 138518
138530 88,76 138770
138770 89,77 138878
138890 88,76 139370
139370 67 139478
