<meta message track_name name='Sound 2' time=0>
<meta message instrument_name name='Microsoft GS ²¨±íÈí¼þºÏ³ÉÆ÷' time=0>
<meta message key_signature key='D' time=0>
note_on channel=0 note=59 velocity=64 time=24
note_off channel=0 note=59 velocity=64 time=216
note_on channel=0 note=64 velocity=64 time=24
note_off channel=0 note=64 velocity=64 time=864
note_on channel=0 note=57 velocity=64 time=96
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=62 velocity=64 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=66 velocity=64 time=24
note_off channel=0 note=66 velocity=64 time=216
note_on channel=0 note=69 velocity=64 time=24
note_off channel=0 note=69 velocity=64 time=1104
note_on channel=0 note=45 velocity=64 time=96
note_off channel=0 note=45 velocity=64 time=216
note_on channel=0 note=55 velocity=64 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=57 velocity=64 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=66 velocity=64 time=24
note_off channel=0 note=66 velocity=64 time=216
note_on channel=0 note=64 velocity=64 time=24
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=62 velocity=64 time=48
note_off channel=0 note=62 velocity=64 time=432
control_change channel=0 control=7 value=90 time=38
note_on channel=0 note=50 velocity=64 time=10
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=57 velocity=64 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=62 velocity=64 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=64 velocity=64 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=66 velocity=64 time=24
note_off channel=0 note=66 velocity=64 time=864
note_on channel=0 note=43 velocity=64 time=96
note_off channel=0 note=43 velocity=64 time=216
note_on channel=0 note=50 velocity=64 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=55 velocity=64 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=57 velocity=64 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=59 velocity=64 time=24
note_off channel=0 note=59 velocity=64 time=432
note_on channel=0 note=62 velocity=64 time=48
note_off channel=0 note=62 velocity=64 time=432
note_on channel=0 note=45 velocity=64 time=48
note_off channel=0 note=45 velocity=64 time=216
note_on channel=0 note=52 velocity=64 time=24
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=59 velocity=64 time=24
note_off channel=0 note=59 velocity=64 time=216
note_on channel=0 note=61 velocity=64 time=24
note_off channel=0 note=61 velocity=64 time=216
note_on channel=0 note=64 velocity=64 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=67 velocity=64 time=24
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=69 velocity=64 time=24
note_off channel=0 note=69 velocity=64 time=432
note_on channel=0 note=50 velocity=64 time=48
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=57 velocity=64 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=62 velocity=64 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=66 velocity=64 time=24
note_off channel=0 note=66 velocity=64 time=216
note_on channel=0 note=57 velocity=64 time=24
note_on channel=0 note=45 velocity=64 time=0
note_off channel=0 note=57 velocity=64 time=216
note_off channel=0 note=45 velocity=64 time=0
note_on channel=0 note=62 velocity=64 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=58 velocity=64 time=24
note_on channel=0 note=46 velocity=64 time=0
note_off channel=0 note=58 velocity=64 time=432
note_off channel=0 note=46 velocity=64 time=0
control_change channel=0 control=7 value=100 time=38
